DATE,품목명,총반입량,전년
202601하순,홍고추,54,53
202602상순,홍고추,55,52
202602중순,홍고추,51,39
202602하순,홍고추,38,34
202603상순,홍고추,48,42
202603중순,홍고추,63,51
202603하순,홍고추,71,64
202604상순,홍고추,68,54
202604중순,홍고추,118,61
202604하순,홍고추,106,81
202605상순,홍고추,68,81
202605중순,홍고추,131,96
202605하순,홍고추,113,130
202606상순,홍고추,139,106
202606중순,홍고추,130,114
202606하순,홍고추,136,126
202607상순,홍고추,153,101
202607중순,홍고추,173,105
202607하순,홍고추,297,179
202608상순,홍고추,423,175
202608중순,홍고추,550,266
202608하순,홍고추,213,184
202609상순,홍고추,118,171
202609중순,홍고추,93,123
