series,ym,ton,ton_ytd,ton_ytd_bfyear
dried,201412,278.0,2681.0,3963.0
dried,201501,232.0,232.0,246.0
dried,201502,296.0,528.0,360.0
dried,201503,263.0,790.0,576.0
dried,201504,183.0,974.0,837.0
dried,201505,249.0,1223.0,1087.0
dried,201506,379.0,1602.0,1415.0
dried,201507,376.0,1977.0,1638.0
dried,201508,169.0,2146.0,1882.0
dried,201509,232.0,2378.0,2021.0
dried,201510,222.0,2600.0,2213.0
dried,201511,257.0,2858.0,2403.0
dried,201512,200.0,3058.0,2681.0
dried,201601,240.0,240.0,232.0
dried,201602,201.0,441.0,528.0
dried,201603,238.0,679.0,790.0
dried,201604,249.0,928.0,974.0
dried,201605,241.0,1169.0,1223.0
dried,201606,375.0,1544.0,1602.0
dried,201607,125.0,1669.0,1977.0
dried,201608,136.0,1805.0,2146.0
dried,201609,212.0,2017.0,2378.0
dried,201610,264.0,2281.0,2600.0
dried,201611,141.0,2421.0,2858.0
dried,201612,269.0,2691.0,3058.0
dried,201701,233.0,233.0,240.0
dried,201702,188.0,421.0,441.0
dried,201703,236.0,657.0,679.0
dried,201704,193.0,850.0,928.0
dried,201705,230.0,1080.0,1169.0
dried,201706,230.0,1310.0,1544.0
dried,201707,107.0,1418.0,1669.0
dried,201708,121.0,1539.0,1805.0
dried,201709,173.0,1712.0,2017.0
dried,201710,138.0,1850.0,2281.0
dried,201711,250.0,2100.0,2421.0
dried,201712,212.0,2312.0,2691.0
dried,201801,345.0,345.0,233.0
dried,201802,183.0,528.0,421.0
dried,201803,200.0,728.0,657.0
dried,201804,249.0,977.0,850.0
dried,201805,254.0,1231.0,1080.0
dried,201806,204.0,1435.0,1310.0
dried,201807,250.0,1686.0,1418.0
dried,201808,185.0,1870.0,1539.0
dried,201809,247.0,2118.0,1712.0
dried,201810,313.0,2431.0,1850.0
dried,201811,199.0,2630.0,2100.0
dried,201812,277.0,2906.0,2312.0
dried,201901,318.0,318.0,345.0
dried,201902,249.0,567.0,528.0
dried,201903,359.0,926.0,728.0
dried,201904,285.0,1211.0,977.0
dried,201905,358.0,1570.0,1231.0
