DATE,val,yearAvg,bfYear
200909중순,26934,21715,20267
200909하순,22169,23283,23706
200910상순,16206,25783,26195
200910중순,20927,33222,21942
200910하순,28431,40537,20623
200911상순,31185,41750,25487
200911중순,33353,41123,22971
200911하순,40694,48772,28948
200912상순,72908,51306,33242
200912중순,71627,46539,35831
200912하순,55505,43700,32149
201001상순,53691,40949,31804
201001중순,56586,44307,47114
201001하순,63772,53248,66974
201002상순,70294,52744,54684
201002중순,72993,58133,61602
201002하순,61569,58636,72967
201003상순,72693,75277,107278
201003중순,72247,82475,97528
201003하순,73419,88816,107427
201004상순,93699,90045,154613
201004중순,125217,83090,150983
201004하순,173497,68283,81847
201005상순,161891,42525,47280
201005중순,88410,32462,26044
201005하순,39594,30731,25658
201006상순,45312,29966,26702
201006중순,39475,34439,34484
201006하순,28944,27820,32379
201007상순,29083,23837,27525
201007중순,30139,24904,28788
201007하순,25336,22643,22566
201008상순,18424,20584,20331
201008중순,18238,19112,21582
201008하순,19500,19359,20103
201009상순,18886,19921,21725
201009중순,22612,22297,26934
201009하순,33297,23458,22169
201010상순,42022,25783,16206
201010중순,69985,28832,20927
201010하순,74663,35996,28431
201011상순,99144,39441,31185
201011중순,159306,40638,33353
201011하순,168904,49055,40694
201012상순,117715,60312,72908
201012중순,80285,57155,71627
201012하순,60570,46868,55505
201101상순,61711,43608,53691
201101중순,53269,48198,56586
201101하순,56504,59320,63772
201102상순,53680,58604,70294
201102중순,35882,66678,72993
201102하순,38154,62909,61569
201103상순,44848,76490,72693
201103중순,44067,83047,72247
201103하순,48939,88347,73419
201104상순,86130,91591,93699
201104중순,101584,93477,125217
201104하순,90317,70484,173497
201105상순,58393,45912,161891
201105중순,30427,36269,88410
201105하순,29309,32743,39594
201106상순,28030,32740,45312
201106중순,34445,39167,39475
201106하순,47980,29274,28944
201107상순,36439,26083,29083
201107중순,32817,28343,30139
201107하순,37702,22643,25336
201108상순,38467,20584,18424
201108중순,44398,19988,18238
201108하순,56910,19354,19500
201109상순,66243,21216,18886
201109중순,47746,23271,22612
201109하순,59433,24819,33297
201110상순,83997,30592,42022
201110중순,80985,31431,69985
201110하순,61307,40097,74663
201111상순,58161,44181,99144
201111중순,39866,63938,159306
201111하순,45456,79968,168904
201112상순,52663,78208,117715
201112중순,52396,63989,80285
201112하순,56622,49408,60570
201201상순,59893,50158,61711
201201중순,75904,51047,53269
201201하순,85523,62417,56504
201202상순,77653,59553,53680
201202중순,77669,66678,35882
201202하순,89284,62909,38154
201203상순,140680,73573,44848
201203중순,139090,76558,44067
201203하순,141201,78331,48939
201204상순,159001,86155,86130
201204중순,151146,90533,101584
201204하순,146087,71861,90317
201205상순,110269,49765,58393
201205중순,47967,35328,30427
201205하순,47629,32577,29309
201206상순,55511,30379,28030
201206중순,75957,36135,34445
201206하순,67210,29447,47980
201207상순,39453,26083,36439
201207중순,33584,28343,32817
201207하순,40247,23496,37702
201208상순,41198,20584,38467
201208중순,32972,19988,44398
201208하순,28011,19354,56910
201209상순,30053,21216,66243
201209중순,44843,23271,47746
201209하순,52601,27751,59433
201210상순,53223,30592,83997
201210중순,66348,45046,80985
201210하순,58445,49681,61307
201211상순,73000,50716,58161
201211중순,63998,65269,39866
201211하순,49562,79926,45456
201212상순,47296,81096,52663
201212중순,46647,68103,52396
