DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
201912상순,홍고추,경상남도 밀양시,7,광주광역시 광주 남구,6,16,28
201912중순,홍고추,경상남도 진주시,11,광주광역시 ,7,14,32
201912하순,홍고추,경상남도 진주시,16,광주광역시 ,6,13,35
202001상순,홍고추,경상남도 진주시,14,광주광역시 ,4,6,25
202001중순,홍고추,경상남도 진주시,19,광주광역시 광주 남구,3,5,27
202001하순,홍고추,경상남도 진주시,31,광주광역시 ,6,7,43
202002상순,홍고추,경상남도 진주시,17,광주광역시 광주 남구,2,2,21
202002중순,홍고추,경상남도 진주시,22,광주광역시 광주 남구,1,2,24
202002하순,홍고추,경상남도 진주시,18,광주광역시 광주 남구,3,3,24
202003상순,홍고추,경상남도 진주시,16,광주광역시 광주 남구,3,5,23
202003중순,홍고추,경상남도 진주시,18,광주광역시 광주 남구,7,7,32
202003하순,홍고추,경상남도 진주시,24,광주광역시 광주 남구,14,4,42
202004상순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,8,3,38
202004중순,홍고추,경상남도 진주시,33,광주광역시 광주 남구,2,1,36
202004하순,홍고추,경상남도 진주시,45,광주광역시 광주 남구,1,1,48
202005상순,홍고추,경상남도 진주시,56,경상남도 밀양시,2,0,58
202005중순,홍고추,경상남도 진주시,86,경상남도 밀양시,6,1,92
202005하순,홍고추,경상남도 진주시,76,경상남도 밀양시,5,2,82
202006상순,홍고추,경상남도 진주시,76,경상남도 밀양시,18,5,99
202006중순,홍고추,경상남도 진주시,79,경상남도 밀양시,38,4,121
202006하순,홍고추,경상남도 진주시,66,경상남도 밀양시,49,6,121
202007상순,홍고추,경상남도 진주시,63,경상남도 밀양시,50,12,124
202007중순,홍고추,경상남도 진주시,55,경상남도 밀양시,43,22,120
202007하순,홍고추,경상남도 진주시,53,경상남도 밀양시,34,56,143
202008상순,홍고추,강원도 평창군,16,강원도 철원군,12,69,96
202008중순,홍고추,강원도 홍천군,55,강원도 평창군,25,103,183
202008하순,홍고추,강원도 홍천군,89,강원도 평창군,52,142,284
202009상순,홍고추,강원도 홍천군,63,강원도 평창군,55,96,215
202009중순,홍고추,강원도 평창군,47,강원도 홍천군,25,57,129
202009하순,홍고추,강원도 평창군,51,강원도 인제군,11,53,115
202010상순,홍고추,강원도 평창군,15,광주광역시 광주 남구,6,23,44
202010중순,홍고추,광주광역시 광주 남구,12,강원도 평창군,11,24,48
202010하순,홍고추,광주광역시 광주 남구,11,강원도 평창군,10,30,51
202011상순,홍고추,경상남도 밀양시,13,광주광역시 광주 남구,9,23,44
202011중순,홍고추,경상남도 밀양시,19,광주광역시 광주 남구,8,19,46
202011하순,홍고추,경상남도 밀양시,17,광주광역시 광주 남구,12,22,51
202012상순,홍고추,경상남도 밀양시,14,광주광역시 광주 남구,11,22,48
202012중순,홍고추,경상남도 진주시,8,광주광역시 광주 남구,6,21,35
202012하순,홍고추,경상남도 진주시,20,전라남도 영암군,9,27,56
202101상순,홍고추,경상남도 진주시,21,광주광역시 광주 남구,4,7,32
202101중순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,3,8,40
202101하순,홍고추,경상남도 진주시,35,광주광역시 광주 남구,4,6,46
202102상순,홍고추,경상남도 진주시,42,광주광역시 광주 남구,8,14,63
202102중순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,4,5,36
202102하순,홍고추,경상남도 진주시,19,광주광역시 광주 남구,1,3,24
202103상순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,10,12,52
