DATE,val,yearAvg,bfYear
201405하순,33614,35445,29648
201406상순,38979,37974,47280
201406중순,36101,28610,33832
201406하순,34407,26581,27867
201407상순,27968,32460,35877
201407중순,40081,34159,42708
201407하순,30795,35947,48598
201408상순,29166,44691,48141
201408중순,41147,26087,25361
201408하순,60368,32813,33052
201409상순,81123,42743,38229
201409중순,42034,41928,38247
201409하순,36352,34604,21510
201410상순,23795,27545,22056
201410중순,32683,30157,19923
201410하순,39388,32699,21702
201411상순,60190,39887,26472
201411중순,65618,39619,28667
201411하순,63787,43773,31374
201412상순,50443,43816,31786
201412중순,47902,44506,32327
201412하순,74278,40828,35189
201501상순,56387,55578,56369
201501중순,36035,55758,81989
201501하순,70393,62400,89805
201502상순,105547,71547,75088
201502중순,128011,86404,87911
201502하순,102914,90533,94798
201503상순,89917,97537,103479
201503중순,60325,82184,74432
201503하순,63411,52144,39753
201504상순,31586,49780,57585
201504중순,52261,40524,50739
201504하순,67001,45080,57909
201505상순,55916,45274,42602
201505중순,34874,38739,41036
201505하순,47903,36255,33614
201506상순,30172,39701,38979
201506중순,32714,32070,36101
201506하순,28839,29138,34407
201507상순,30150,32417,27968
201507중순,30148,38305,40081
201507하순,19391,35687,30795
201508상순,22600,36703,29166
201508중순,26687,32187,41147
201508하순,23854,39784,60368
201509상순,21696,47173,81123
201509중순,29636,46780,42034
201509하순,25296,37745,36352
201510상순,17291,28125,23795
201510중순,19712,34410,32683
201510하순,21160,36243,39388
201511상순,27296,45121,60190
201511중순,33331,48681,65618
201511하순,33354,46903,63787
201512상순,29087,45017,50443
201512중순,41572,43162,47902
201512하순,47359,48923,74278
201601상순,26845,58166,56387
201601중순,44446,51499,36035
201601하순,63450,70503,70393
201602상순,85427,75958,105547
201602중순,79724,91075,128011
201602하순,65939,100055,102914
201603상순,39977,93016,89917
201603중순,49126,69634,60325
201603하순,40219,51406,63411
201604상순,39212,41114,31586
201604중순,35393,42400,52261
201604하순,35449,45167,67001
201605상순,47221,45274,55916
201605중순,29505,38192,34874
201605하순,35468,37814,47903
201606상순,25947,37147,30172
201606중순,27346,30941,32714
201606하순,30438,29462,28839
201607상순,40811,31332,30150
201607중순,44679,37645,30148
201607하순,51101,35687,19391
201608상순,33561,36703,22600
201608중순,59755,32629,26687
201608하순,89614,39784,23854
201609상순,96550,44365,21696
201609중순,106864,36639,29636
201609하순,42634,28003,25296
201610상순,36734,24788,17291
201610중순,38541,29959,19712
201610하순,37591,33130,21160
201611상순,75204,37080,27296
201611중순,62335,43014,33331
201611하순,54235,41485,33354
201612상순,44791,44139,29087
201612중순,46100,46243,41572
201612하순,61027,52979,47359
201701상순,51042,58166,26845
201701중순,68846,54303,44446
201701하순,87781,70558,63450
201702상순,51994,81328,85427
201702중순,51784,91129,79724
201702하순,55487,100055,65939
201703상순,60417,93016,39977
201703중순,39292,63732,49126
201703하순,39763,51562,40219
201704상순,36384,43656,39212
201704중순,46090,42400,35393
201704하순,53328,46612,35449
201705상순,41280,48154,47221
201705중순,33471,37664,29505
201705하순,42399,36477,35468
201706상순,44152,33131,25947
201706중순,32956,31297,27346
201706하순,31744,29449,30438
201707상순,31038,31332,40811
201707중순,42520,37645,44679
201707하순,61174,35687,51101
201708상순,46921,31843,33561
201708중순,42909,36108,59755
201708하순,54074,42553,89614
201709상순,56374,54233,96550
201709중순,68379,51477,106864
201709하순,38283,34761,42634
201710상순,38334,25972,36734
201710중순,21507,30100,38541
201710하순,28493,32894,37591
201711상순,37323,43505,75204
201711중순,30903,52042,62335
201711하순,23961,46695,54235
201712상순,21320,42340,44791
201712중순,21950,45191,46100
201712하순,35532,59194,61027
201801상순,32180,54599,51042
201801중순,46253,55968,68846
201801하순,73664,78668,87781
201802상순,95403,81328,51994
201802중순,88951,82399,51784
201802하순,40140,87730,55487
201803상순,47787,79699,60417
201803중순,57998,55297,39292
201803하순,57488,43679,39763
201804상순,39939,38622,36384
201804중순,34169,45162,46090
201804하순,32604,48895,53328
201805상순,39926,43701,41280
201805중순,32286,35143,33471
201805하순,35405,37160,42399
201806상순,42383,37768,44152
201806중순,32158,33167,32956
201806하순,32225,30341,31744
201807상순,35792,32355,31038
201807중순,43541,41769,42520
201807하순,57738,43498,61174
201808상순,57256,36549,46921
201808중순,42707,36914,42909
201808하순,55288,49165,54074
201809상순,53679,58575,56374
201809중순,70970,49553,68379
201809하순,52693,33310,38283
201810상순,25855,27528,38334
201810중순,28555,24704,21507
201810하순,36949,29262,28493
201811상순,34474,41603,37323
201811중순,32475,42190,30903
201811하순,25335,39654,23961
201812상순,23930,35221,21320
201812중순,23490,40000,21950
201812하순,24793,47972,35532
201901상순,35028,46530,32180
201901중순,40802,53182,46253
201901하순,43709,77279,73664
201902상순,63417,85306,95403
201902중순,56631,85529,88951
201902하순,58733,72075,40140
201903상순,64470,66040,47787
201903중순,58940,55816,57998
201903하순,38092,45823,57488
201904상순,37141,38512,39939
201904중순,30865,44074,34169
201904하순,31703,48895,32604
201905상순,46780,43701,39926
201905중순,40692,33544,32286
201905하순,32201,37758,35405
201906상순,37471,37178,42383
201906중순,38247,32609,32158
201906하순,31213,31469,32225
201907상순,37177,32327,35792
201907중순,39512,42047,43541
201907하순,29735,46544,57738
201908상순,42224,36549,57256
201908중순,81853,42254,42707
201908하순,56542,56577,55288
201909상순,53551,63725,53679
201909중순,52414,60461,70970
201909하순,47865,39090,52693
201910상순,43949,28795,25855
201910중순,39005,27582,28555
201910하순,47211,34344,36949
201911상순,52611,43995,34474
201911중순,41389,42713,32475
201911하순,36212,37642,25335
201912상순,27407,32603,23930
201912중순,26995,37054,23490
201912하순,47485,47972,24793
202001상순,50564,39417,35028
202001중순,60471,43834,40802
202001하순,79283,69169,43709
202002상순,85102,81416,63417
202002중순,68420,75102,56631
202002하순,79658,60053,58733
202003상순,57708,57558,64470
202003중순,42319,55355,58940
202003하순,50168,45823,38092
202004상순,33215,37579,37141
202004중순,35801,38550,30865
202004하순,42726,40460,31703
202005상순,28994,45094,46780
202005중순,36968,33544,40692
202005하순,35547,37758,32201
202006상순,39845,36675,37471
202006중순,34533,32609,38247
202006하순,51835,31132,31213
202007상순,46772,34669,37177
202007중순,49923,41857,39512
202007하순,33604,46191,29735
202008상순,37218,40902,42224
202008중순,54192,48457,81853
202008하순,65452,55301,56542
202009상순,79217,54534,53551
202009중순,86582,63921,52414
202009하순,127757,42927,47865
202010상순,50455,33641,43949
202010중순,43488,29535,39005
202010하순,40903,34344,47211
202011상순,43622,41469,52611
202011중순,36504,35732,41389
202011하순,24407,31634,36212
202012상순,21443,26808,27407
202012중순,19906,30685,26995
202012하순,30310,43458,47485
202101상순,26784,39257,50564
202101중순,43368,50390,60471
202101하순,77902,72132,79283
202102상순,118529,77982,85102
202102중순,106902,68258,68420
202102하순,104942,60053,79658
202103상순,88973,55304,57708
202103중순,63004,49814,42319
202103하순,68511,43383,50168
202104상순,49238,37579,33215
202104중순,41476,35121,35801
202104하순,57079,36926,42726
202105상순,39319,42662,28994
202105중순,38001,34242,36968
202105하순,55975,35474,35547
202106상순,61114,39900,39845
202106중순,50173,33215,34533
202106하순,46993,31728,51835
202107상순,61143,37927,46772
202107중순,52495,43580,49923
202107하순,47988,47481,33604
202108상순,44129,42121,37218
202108중순,24445,52285,54192
202108하순,34627,59094,65452
202109상순,44276,63090,79217
202109중순,54525,75311,86582
202109하순,33802,47730,127757
202110상순,29688,39672,50455
202110중순,42657,35367,43488
202110하순,90290,38481,40903
202111상순,79000,44519,43622
202111중순,47346,36789,36504
202111하순,33367,28651,24407
202112상순,36652,24260,21443
202112중순,26387,24145,19906
202112하순,30348,37775,30310
202201상순,46217,39257,26784
202201중순,61416,50031,43368
202201하순,76574,76950,77902
202202상순,84731,81307,118529
202202중순,80748,71334,106902
202202하순,84588,64626,104942
