DATE,val,yearAvg,bfYear
201009하순,54043.0,0.0,26717.0
201010상순,53583.0,0.0,23787.0
201010중순,100612.0,0.0,20267.0
201010하순,110425.0,0.0,34441.0
201011상순,139736.0,0.0,44030.0
201011중순,123092.0,0.0,41148.0
201011하순,70274.0,0.0,36787.0
201012상순,59274.0,0.0,48230.0
201012중순,42968.0,0.0,49119.0
201012하순,38216.0,0.0,50904.0
201101상순,37659.0,0.0,60433.0
201101중순,29548.0,0.0,56989.0
201101하순,30725.0,0.0,67312.0
201102상순,27693.0,0.0,66405.0
201102중순,23243.0,0.0,88667.0
201102하순,27667.0,0.0,65857.0
201103상순,33266.0,0.0,70342.0
201103중순,31458.0,0.0,69612.0
201103하순,35602.0,0.0,87904.0
201104상순,39244.0,0.0,104981.0
201104중순,46332.0,0.0,124786.0
201104하순,41038.0,0.0,170013.0
201105상순,35030.0,0.0,169483.0
201105중순,35515.0,0.0,106593.0
201105하순,24832.0,0.0,38693.0
201106상순,20627.0,0.0,25755.0
201106중순,26347.0,0.0,27214.0
201106하순,48643.0,0.0,28441.0
201107상순,60420.0,0.0,30144.0
201107중순,61213.0,0.0,45710.0
201107하순,64408.0,0.0,37360.0
201108상순,71398.0,31627.0,36985.0
201108중순,91509.0,30936.0,49383.0
201108하순,113989.0,34840.0,52307.0
201109상순,92461.0,27401.0,32202.0
201109중순,49017.0,35122.0,34436.0
201109하순,49731.0,39872.0,54043.0
201110상순,57861.0,36764.0,53583.0
201110중순,68280.0,30293.0,100612.0
201110하순,49537.0,44348.0,110425.0
201111상순,34657.0,66221.0,139736.0
201111중순,23640.0,66445.0,123092.0
201111하순,28200.0,46789.0,70274.0
201112상순,38324.0,47153.0,59274.0
201112중순,45520.0,43003.0,42968.0
201112하순,51346.0,43306.0,38216.0
201201상순,62195.0,45970.0,37659.0
201201중순,68900.0,38825.0,29548.0
201201하순,72476.0,44654.0,30725.0
201202상순,55362.0,45736.0,27693.0
201202중순,65262.0,41651.0,23243.0
201202하순,67652.0,50594.0,27667.0
201203상순,66349.0,50713.0,33266.0
201203중순,63538.0,53976.0,31458.0
201203하순,73956.0,56243.0,35602.0
201204상순,100975.0,76223.0,39244.0
201204중순,115658.0,95740.0,46332.0
201204하순,103194.0,112411.0,41038.0
201205상순,108819.0,62502.0,35030.0
201205중순,46772.0,39257.0,35515.0
201205하순,25788.0,29940.0,24832.0
201206상순,29170.0,23887.0,20627.0
201206중순,34755.0,26582.0,26347.0
201206하순,43055.0,32743.0,48643.0
201207상순,28031.0,31123.0,60420.0
201207중순,29944.0,38228.0,61213.0
201207하순,33848.0,43952.0,64408.0
201208상순,50036.0,36540.0,71398.0
201208중순,30679.0,38740.0,91509.0
201208하순,31480.0,38300.0,113989.0
201209상순,39239.0,27401.0,92461.0
201209중순,39511.0,35122.0,49017.0
201209하순,66279.0,47542.0,49731.0
201210상순,94103.0,43209.0,57861.0
201210중순,103164.0,44748.0,68280.0
201210하순,174284.0,50287.0,49537.0
201211상순,138036.0,58894.0,34657.0
201211중순,85260.0,61474.0,23640.0
201211하순,56681.0,45087.0,28200.0
201212상순,54258.0,48609.0,38324.0
201212중순,63320.0,45869.0,45520.0
201212하순,64158.0,47535.0,51346.0
201301상순,58301.0,53561.0,62195.0
201301중순,56696.0,51783.0,68900.0
201301하순,63941.0,58387.0,72476.0
201302상순,61484.0,50542.0,55362.0
201302중순,72627.0,47933.0,65262.0
201302하순,70387.0,53320.0,67652.0
201303상순,79964.0,53727.0,66349.0
201303중순,66828.0,54259.0,63538.0
201303하순,64048.0,61046.0,73956.0
201304상순,66938.0,81636.0,100975.0
201304중순,69084.0,95592.0,115658.0
201304하순,64936.0,99986.0,103194.0
201305상순,56953.0,68201.0,108819.0
201305중순,56524.0,37938.0,46772.0
201305하순,41787.0,29771.0,25788.0
201306상순,50229.0,25184.0,29170.0
201306중순,47003.0,29439.0,34755.0
201306하순,42124.0,38251.0,43055.0
201307상순,47544.0,30650.0,28031.0
201307중순,84020.0,38228.0,29944.0
201307하순,72249.0,43952.0,33848.0
201308상순,28776.0,41608.0,50036.0
201308중순,26253.0,35399.0,30679.0
201308하순,23682.0,35501.0,31480.0
201309상순,37614.0,32741.0,39239.0
201309중순,38422.0,37409.0,39511.0
201309하순,46943.0,48905.0,66279.0
201310상순,47854.0,50494.0,94103.0
201310중순,34618.0,64614.0,103164.0
201310하순,51288.0,64801.0,174284.0
201311상순,47106.0,72241.0,138036.0
201311중순,40407.0,50873.0,85260.0
201311하순,41200.0,40556.0,56681.0
201312상순,59129.0,46937.0,54258.0
201312중순,59413.0,45869.0,63320.0
201312하순,49555.0,48272.0,64158.0
201401상순,42510.0,58413.0,58301.0
201401중순,44999.0,60702.0,56696.0
201401하순,46722.0,67726.0,63941.0
201402상순,52795.0,56596.0,61484.0
201402중순,47943.0,63598.0,72627.0
201402하순,43744.0,64948.0,70387.0
201403상순,51942.0,65114.0,79964.0
201403중순,51402.0,65564.0,66828.0
201403하순,61923.0,70528.0,64048.0
201404상순,75131.0,89922.0,66938.0
201404중순,92438.0,103176.0,69084.0
201404하순,91864.0,107952.0,64936.0
201405상순,65043.0,75509.0,56953.0
201405중순,47734.0,46270.0,56524.0
201405하순,49349.0,29771.0,41787.0
201406상순,39337.0,25184.0,50229.0
201406중순,35382.0,29439.0,47003.0
201406하순,31821.0,42812.0,42124.0
201407상순,21709.0,37154.0,47544.0
201407중순,32615.0,46590.0,84020.0
201407하순,72230.0,46023.0,72249.0
201408상순,45389.0,38599.0,28776.0
201408중순,26673.0,35438.0,26253.0
201408하순,22037.0,35823.0,23682.0
201409상순,28145.0,36351.0,37614.0
201409중순,49451.0,37457.0,38422.0
201409하순,68504.0,50239.0,46943.0
201410상순,98574.0,53099.0,47854.0
201410중순,111652.0,67837.0,34618.0
201410하순,69591.0,70417.0,51288.0
201411상순,40630.0,76391.0,47106.0
201411중순,28443.0,55605.0,40407.0
201411하순,25299.0,44889.0,41200.0
201412상순,33600.0,53872.0,59129.0
201412중순,34361.0,51351.0,59413.0
201412하순,33780.0,50601.0,49555.0
201501상순,34179.0,53748.0,42510.0
201501중순,39161.0,52895.0,44999.0
201501하순,48837.0,59325.0,46722.0
201502상순,65956.0,56547.0,52795.0
201502중순,85114.0,61944.0,47943.0
201502하순,68045.0,59084.0,43744.0
201503상순,61051.0,62878.0,51942.0
201503중순,72234.0,60589.0,51402.0
201503하순,77592.0,66643.0,61923.0
201504상순,105264.0,81015.0,75131.0
201504중순,86952.0,92393.0,92438.0
201504하순,80933.0,86664.0,91864.0
201505상순,60899.0,76939.0,65043.0
201505중순,34648.0,50343.0,47734.0
201505하순,56073.0,35423.0,49349.0
201506상순,81247.0,31421.0,39337.0
201506중순,27478.0,32450.0,35382.0
201506하순,19806.0,39000.0,31821.0
201507상순,20663.0,35240.0,21709.0
201507중순,20698.0,46513.0,32615.0
201507하순,34689.0,58000.0,72230.0
201508상순,58101.0,44137.0,45389.0
201508중순,31357.0,35578.0,26673.0
201508하순,16714.0,35823.0,22037.0
201509상순,23554.0,36351.0,28145.0
201509중순,37516.0,42317.0,49451.0
201509하순,69817.0,56684.0,68504.0
201510상순,61563.0,68516.0,98574.0
201510중순,76772.0,90685.0,111652.0
201510하순,39085.0,77101.0,69591.0
201511상순,28790.0,75257.0,40630.0
201511중순,25531.0,51370.0,28443.0
201511하순,26900.0,42027.0,25299.0
201512상순,25274.0,50570.0,33600.0
201512중순,32939.0,49300.0,34361.0
201512하순,34676.0,46372.0,33780.0
201601상순,34770.0,46157.0,34179.0
201601중순,59766.0,46952.0,39161.0
201601하순,90872.0,53167.0,48837.0
201602상순,112025.0,56547.0,65956.0
201602중순,99463.0,61944.0,85114.0
201602하순,93731.0,59814.0,68045.0
201603상순,108167.0,59781.0,61051.0
201603중순,104820.0,60589.0,72234.0
201603하순,122119.0,66643.0,77592.0
201604상순,167816.0,81015.0,105264.0
201604중순,84845.0,82825.0,86952.0
201604하순,82687.0,79244.0,80933.0
201605상순,43012.0,60965.0,60899.0
201605중순,21086.0,43340.0,34648.0
201605하순,16870.0,38975.0,56073.0
201606상순,27124.0,39578.0,81247.0
201606중순,26212.0,32538.0,27478.0
201606하순,33425.0,39000.0,19806.0
201607상순,45261.0,32428.0,20663.0
201607중순,41273.0,41258.0,20698.0
201607하순,35382.0,57109.0,34689.0
201608상순,22345.0,51175.0,58101.0
201608중순,14406.0,29570.0,31357.0
201608하순,19976.0,25733.0,16714.0
201609상순,20455.0,34999.0,23554.0
201609중순,34239.0,42317.0,37516.0
201609하순,36813.0,61505.0,69817.0
201610상순,32844.0,71176.0,61563.0
201610중순,61282.0,82739.0,76772.0
201610하순,89830.0,56805.0,39085.0
201611상순,66927.0,40798.0,28790.0
201611중순,60832.0,31461.0,25531.0
201611하순,52453.0,32100.0,26900.0
201612상순,66605.0,42061.0,25274.0
201612중순,75454.0,46431.0,32939.0
201612하순,78379.0,45192.0,34676.0
201701상순,64748.0,45194.0,34770.0
201701중순,50038.0,53820.0,59766.0
201701하순,53054.0,61751.0,90872.0
201702상순,53985.0,60934.0,112025.0
201702중순,48222.0,74334.0,99463.0
201702하순,45831.0,68695.0,93731.0
201703상순,49565.0,69121.0,108167.0
201703중순,42613.0,67533.0,104820.0
201703하순,38925.0,71866.0,122119.0
201704상순,45446.0,93790.0,167816.0
201704중순,34491.0,88078.0,84845.0
201704하순,23439.0,85161.0,82687.0
201705상순,19052.0,60965.0,43012.0
201705중순,25571.0,43051.0,21086.0
201705하순,33249.0,38975.0,16870.0
201706상순,43166.0,39578.0,27124.0
201706중순,26462.0,32538.0,26212.0
201706하순,28004.0,35790.0,33425.0
201707상순,25082.0,31667.0,45261.0
201707중순,39402.0,34611.0,41273.0
201707하순,39465.0,47434.0,35382.0
201708상순,26816.0,41400.0,22345.0
201708중순,24333.0,27868.0,14406.0
201708하순,68361.0,21898.0,19976.0
201709상순,122876.0,29771.0,20455.0
201709중순,119389.0,38483.0,34239.0
201709하순,133742.0,60575.0,36813.0
201710상순,102133.0,67840.0,32844.0
201710중순,73116.0,80406.0,61282.0
201710하순,116189.0,70236.0,89830.0
201711상순,54490.0,51554.0,66927.0
201711중순,29135.0,43227.0,60832.0
201711하순,28883.0,40184.0,52453.0
201712상순,35163.0,48995.0,66605.0
201712중순,35641.0,52365.0,75454.0
201712하순,29513.0,49463.0,78379.0
201801상순,27967.0,45194.0,64748.0
201801중순,35863.0,50578.0,50038.0
201801하순,42376.0,55277.0,53054.0
201802상순,49397.0,60475.0,53985.0
