DATE,품목명,단위,등급명,평균가격,전년,평년
202502상순,홍고추,10키로,상,65046,76869,67297
202502중순,홍고추,10키로,상,65853,91038,66454
202502하순,홍고추,10키로,상,72393,152950,96921
202503상순,홍고추,10키로,상,104760,165036,128067
202503중순,홍고추,10키로,상,112784,144570,131346
202503하순,홍고추,10키로,상,108774,184237,156071
202504상순,홍고추,10키로,상,159360,241446,169323
202504중순,홍고추,10키로,상,155250,185788,137401
202504하순,홍고추,10키로,상,81644,212559,99859
202505상순,홍고추,10키로,상,92296,139545,83269
202505중순,홍고추,10키로,상,69639,81093,81023
202505하순,홍고추,10키로,상,57202,136484,76612
202506상순,홍고추,10키로,상,78382,78837,68200
202506중순,홍고추,10키로,상,101642,77378,68599
202506하순,홍고추,10키로,상,69654,70462,59308
202507상순,홍고추,10키로,상,70078,45248,53618
202507중순,홍고추,10키로,상,73154,48694,50117
202507하순,홍고추,10키로,상,47540,44104,44962
202508상순,홍고추,10키로,상,49113,39747,40090
202508중순,홍고추,10키로,상,38361,35345,39954
202508하순,홍고추,10키로,상,43135,42926,41283
202509상순,홍고추,10키로,상,39778,54235,45305
202509중순,홍고추,10키로,상,58701,89893,65022
202509하순,홍고추,10키로,상,61954,96554,97460
202510상순,홍고추,10키로,상,94607,114740,108985
202510중순,홍고추,10키로,상,56439,118733,108625
202510하순,홍고추,10키로,상,79064,76642,97948
202511상순,홍고추,10키로,상,152850,94520,78820
202511중순,홍고추,10키로,상,179881,97987,71781
202511하순,홍고추,10키로,상,206829,135503,64917
202512상순,홍고추,10키로,상,169885,193900,76827
202512중순,홍고추,10키로,상,110832,246877,78561
202512하순,홍고추,10키로,상,56471,208514,79446
202601상순,홍고추,10키로,상,40961,126428,67204
202601중순,홍고추,10키로,상,41392,78414,59937
202601하순,홍고추,10키로,상,38404,93016,76900
202602상순,홍고추,10키로,상,58607,65046,70822
202602중순,홍고추,10키로,상,84254,65853,69017
202602하순,홍고추,10키로,상,87503,72393,95998
202603상순,홍고추,10키로,상,153045,104760,130641
202603중순,홍고추,10키로,상,139308,112784,131346
202603하순,홍고추,10키로,상,106159,108774,156071
202604상순,홍고추,10키로,상,117486,159360,179048
202604중순,홍고추,10키로,상,94390,155250,155481
202604하순,홍고추,10키로,상,93112,81644,103491
202605상순,홍고추,10키로,상,125483,92296,93641
202605중순,홍고추,10키로,상,65225,69639,84806
202605하순,홍고추,10키로,상,87715,57202,76612
202606상순,홍고추,10키로,상,80926,78382,75033
202606중순,홍고추,10키로,상,58067,101642,83096
202606하순,홍고추,10키로,상,56199,69654,67585
202607상순,홍고추,10키로,상,65678,70078,57439
202607중순,홍고추,10키로,상,77690,73154,59602
202607하순,홍고추,10키로,상,48109,47540,46947
202608상순,홍고추,10키로,상,39925,49113,40090
202608중순,홍고추,10키로,상,37644,38361,37394
202608하순,홍고추,10키로,상,33710,43135,41283
202609상순,홍고추,10키로,상,59652,39778,45089
202609중순,홍고추,10키로,상,109496,58701,65574
